c_no	c_name	c_price	c_division	c_type	c_explain	c_date	b_no	c_img
1	3시리즈	50000000	1	1	BMW의 대표적인 중형 세단, 3시리즈입니다. 우아한 디자인과 탁월한 주행 성능을 자랑합니다.	2023-01-01	1	NULL
2	5시리즈	70000000	1	1	BMW의 대표적인 고급 세단, 5시리즈입니다. 고급스러운 인테리어와 최신 기술을 탑재하였습니다.	2023-01-02	1	NULL
3	X4	60000000	1	2	BMW의 스포티한 중형 SUV, X4입니다. 독특한 쿠페 스타일의 디자인과 강력한 엔진 성능을 자랑합니다.	2023-01-03	1	NULL
4	X5M	80000000	1	2	BMW의 고성능 대형 SUV, X5M입니다. 뛰어난 주행 성능과 넓은 실내 공간을 제공합니다.	2023-01-04	1	NULL
5	i3	40000000	2	1	BMW의 소형 전기 세단, i3입니다. 친환경적인 전기차로서 도심 주행에 적합하며, BMW 특유의 고급스러운 인테리어를 자랑합니다.	2023-01-05	1	NULL
6	i4	50000000	2	1	BMW의 중형 전기 세단, i4입니다. 전기차의 장점을 살린 탁월한 주행 성능과 고급 인테리어를 제공합니다.	2023-01-06	1	NULL
7	iX3	60000000	2	2	BMW의 중형 전기 SUV, iX3입니다. 전기차의 장점을 살린 탁월한 주행 성능과 넓은 실내 공간을 제공합니다.	2023-01-07	1	NULL
8	5시리즈 하이브리드	75000000	3	1	BMW의 고급 하이브리드 세단, 5시리즈 하이브리드입니다. 하이브리드 엔진의 효율성과 고급스러운 인테리어를 결합하였습니다.	2023-01-08	1	NULL
9	7시리즈	90000000	3	1	BMW의 최고급 세단, 7시리즈입니다. 최고급 재료와 기술을 사용하여 최상의 편안함과 성능을 제공합니다.	2023-01-09	1	NULL
10	X5	70000000	3	2	BMW의 대형 SUV, X5입니다. 넓은 실내 공간과 뛰어난 주행 성능을 제공합니다.	2023-01-10	1	NULL
11	K3	20000000	1	1	기아의 대표적인 소형 세단, K3입니다. 효율적인 연비와 실내 공간을 자랑하는 도심형 세단입니다.	2023-01-11	2	NULL
12	K3GT	25000000	1	1	기아의 스포티한 소형 세단, K3GT입니다. 탁월한 핸들링과 가속성능으로 스포티한 드라이빙을 즐길 수 있습니다.	2023-01-12	2	NULL
13	K5	30000000	1	1	기아의 대표적인 중형 세단, K5입니다. 우아한 디자인과 편안한 주행감을 제공합니다.	2023-01-13	2	NULL
14	K8	35000000	1	1	기아의 고급 세단, K8입니다. 고급스러운 인테리어와 최신 기술을 탑재하였습니다.	2023-01-14	2	NULL
15	EV3	25000000	2	1	기아의 소형 전기 세단, EV3입니다. 친환경적인 전기차로서 도심 주행에 적합하며, 효율적인 연비를 자랑합니다.	2023-01-15	2	NULL
16	EV4	30000000	2	1	기아의 중형 전기 세단, EV4입니다. 전기차의 장점을 살린 탁월한 주행 성능과 편안한 인테리어를 제공합니다.	2023-01-16	2	NULL
17	EV9	40000000	2	2	기아의 대형 전기 SUV, EV9입니다. 넓은 실내 공간과 강력한 전기 모터를 탑재하여 편안하고 환경 친화적인 주행을 제공합니다.	2023-01-17	2	NULL
18	K5 하이브리드	33000000	3	1	기아의 하이브리드 중형 세단, K5 하이브리드입니다. 하이브리드 엔진의 효율성과 편안한 주행감을 제공합니다.	2023-01-18	2	NULL
19	니로 플러그인	35000000	3	2	기아의 하이브리드 SUV, 니로 플러그인입니다. SUV의 편안함과 하이브리드의 효율성을 결합하였습니다.	2023-01-19	2	NULL
20	쏘울 EV	30000000	3	1	기아의 소형 전기 세단, 쏘울 EV입니다. 도심형 전기차로서 효율적인 연비와 편안한 주행감을 제공합니다.	2023-01-20	2	NULL
21	A클래스	40000000	1	1	벤츠의 대표적인 소형 세단, A클래스입니다. 컴팩트한 크기에도 불구하고 고급스러운 인테리어와 탁월한 주행 성능을 제공합니다.	2023-01-21	3	NULL
22	C 클래스	50000000	1	1	벤츠의 대표적인 중형 세단, C클래스입니다. 우아한 디자인과 편안한 주행감을 제공합니다.	2023-01-22	3	NULL
23	GLE	60000000	1	2	벤츠의 대표적인 대형 SUV, GLE입니다. 넓은 실내 공간과 뛰어난 주행 성능을 제공합니다.	2023-01-23	3	NULL
24	S클래스	80000000	1	1	벤츠의 최고급 세단, S클래스입니다. 최고급 재료와 기술을 사용하여 최상의 편안함과 성능을 제공합니다.	2023-01-24	3	NULL
25	EQA	40000000	2	1	벤츠의 소형 전기 세단, EQA입니다. 친환경적인 전기차로서 도심 주행에 적합하며, 벤츠 특유의 고급스러운 인테리어를 자랑합니다.	2023-01-25	3	NULL
