No	Eng	Kor	Keycontent	Content
1	NO POVERTY	빈곤 퇴치	모든 곳에서 모든 형태의 빈곤을 종식시키자	"빈곤 퇴치는 자선 활동이 아니라 정의의 행위이며 엄청난 인간 잠재력을 발휘하는 열쇠입니다. 그럼에도 불구하고 세계 인구의 거의 절반이 빈곤 속에 살고 있으며, 식량과 깨끗한 물의 부족으로 인해 매일 수천 명이 사망하고 있습니다. 함께라면 우리는 배고픈 사람들에게 먹이를 주고, 질병을 퇴치하며, 전 세계 모든 사람에게 번영하고 생산적이고 풍요로운 삶을 살 수 있는 기회를 줄 수 있습니다."
2	ZERO HUNGER	기아 종식	"기아를 종식시키고, 식량 안보를 달성하고, 영양을 개선하고, 지속 가능한 농업을 촉진하자"	"전 세계적으로 기아는 사망의 주요 원인입니다. 지구는 무궁무진한 자원을 제공해 왔지만, 자원에 대한 불평든한 접근성과 비효율적인 취급으로 인해 수백만 명의 인구가 영양 실조를 격어 왔스빈다. 만일 우리가 현대 기술과 공정한 분배 시스템으로 지속가능한 농업 활동을 발전시킨다변, 우리는 전 세계 인구 수를 유지하면서, 그 누구도 굶주림으로 고통받지 않게 할 수 있습니다."
3	GOOD HEALTH AND WELL-BEING	건강한 삶과 웰빙	모든 연령층의 건강한 삶을 보장하고 웰빙을 증진하자	"지난 15년 동안 아동 사망자의 수는 절반으로 감소했습니다. 이러한 사실은 적절히 대처하면 거의 모든 질병을 극복할 수 있다는 것을 보여줍니다. 지금도 우리는 더 쉽게 예방할 수 있는 질병에 천문학적인 돈과 자원을 낭비하고 있습니다. 전 세계의 건강한 삶을 위한 새로운 목표는 건강한 생활 양식, 예방 의학, 현대적이고 효율적인 건강 관리가 모두에게 이루어지도록 증진하는 것입니다."
4	QUALITY EDUCATION	양질의 교육	포용적이고 공평한 양질의 교육을 보장하고 모두를 위한 평생 학습 기회를 장려하자	"교육은 지성을 높일 뿐만 아니라 상상력을 열어주며 자기 존중의 토대를 구성합니다. 번영과 기회의 세계를 열어주는 열쇠로, 모든 구성원이 발전해 나가는 건강한 사회에 기여할 수 있는 가능성을 제공합니다. 교육은 모든 인류에게 이점을 가져다 주므로 모두에게 균등하게 제공되어야 합니다."
5	GENDER EQUALITY	성평등	성평등을 달성하고 모든 여성과 소녀들의 역량을 강화하자	"성 편견은 사회의 근간을 위협하고 우리 모두의 가치를 훼손하고 있습니다. 단순히 인간의 권리에 관한 문제가 아니라 인간의 잠재 가능성을 무너뜨리는 중차대한 문제입니다. 여성의 동등한 권리를 부정함으로써 인구 절반이 온전한 삶을 영위할 수 있는 가능성을 박탈당하고 있습니다. 여성의 정치적, 경제적, 사회적 평등을 인정할 때
온 인류가 더 나은 세계로 나아갈 수 있습니다. 우리 모두가 함께하면 편견을 퇴치하고 모두가 존중받는 세상을 만들 수 있습니다."
6	CLEAN WATER AND SANITATION	맑고 깨끗한 물과 위생	모두를 위한 물과 위생의 가용성과 지속 가능한 관리를 보장하자	3명 중 1명은 아무런 위생 시설 없이 살고 있으며 이로 인해 불필요한 질병이나 사망이 발생합니다. 깨끗한 식수와 관련한 상당한 개선이 이루어졌음에도 위생 시설의 부족으로 이러한 개선이 확실한 효과를 거두지 못하고 있습니다. 적절하게 이용할 수 있는 위생 시설을 보급하고 위생 관련 교육을 한다면 위생 문제로 인한 불필요한 고통과 사망을 멈출 수 있을 것입니다.
7	AFFORDABLE AND CLEAN ENERGY	깨끗하고 저렴한 에너지	모든 사람이 저렴하고 신뢰할 수 있으며 지속 가능하고 현대적인 에너지에 접근할 수 있도록 보장하자	"재생 가능한 에너지는 날이 갈수록 점점 비용이 낮아지고, 안정적이고, 효율화되고 있습니다. 화석 연료에 의존하는 현실은 지속 가능하지 않을 뿐더러 지구에게 해로운 영향을 미칩니다. 이러한 이유 때문에 우리는 에너지를 생산하고 소비 하는 방식을 바꾸어야 합니다. 되도록 빨리 이러한새로운 에너지를 도입한다면 인 류의 생존에 가장큰 위협이 되고 있는 기후 변화에도 능동적으로 대처할 수 있습니다."
8	DECENT WORK AND ECONOMIC GROWITH	양질의 일과 경제 성장	"지속적이고 포용적이며 지속 가능한 경제 성장, 완전하고 생산적인 고용, 모두를 위한 양질의 일자리를 촉진하자"	경제 발전은 전 세계에도긍정적인 힘으로작용해야합니다. 이러한 이유로 금융 발전은 환경을 해치지 않으면서 양질의 만족스러운 일자리를창출해내야합니다. 언제 어디서든노동권을보호해야하며 노예 노동과 아동 노동을 근절해야 합니다. 은행 및 금융 서비스에 접근성을 늘려서 일자리 창출을 증진한다면 모두가 기 업가 정신과 혁신의 이점을 누릴 수 있을 것입니다.
9	"INDUSTRY, INNOVATION AND INFRASTRUCTURE"	"산업, 혁신과 사회기반시설 구축"	"탄력적인 사회기반시설을 구축하고, 포용적이고 지속 가능한 산업화를 촉진하며, 혁신을 촉진하자"	"제대로 기능하고 복원력이 뛰어난 프라는 모든 성공적인 사회의 기초입니다. 미래의 도전 과제를 해결하기 위해서는 산업과 사회기반 설이 업그레이드되어야합니다. 이를 위해 우리는 혁신적이고 지속 가능한 기술을 발해야 하며 정보와 금융시장을 모두가 평등하게 이용할수 있도록보장해야합니다. 이러한조치를통해 류의 번영을 가져오고, 일자리를 창출하고, 전 세계적으로 안정적이고 번영하는 사회를 설할수 있을 것입니다."
10	REDUCED INEQUALITIES	불평등 완화	"국가 내, 국가 간 불평등을 줄이자"	"세계 부의 대부분이 극소수의 사람들에게 집중되어 있습니다. 이것은 때때로 금융이나 사회적 차별의 결과로 이어집니다. 국가가 번영하기 위해서는 성별, 인종, 종교적 신념, 경제적 지위에 상관없이 모두에게 평등과 번영이 주어져야 합니다. 모든 개인이 자급 자족할 수 있을 때 세계는 더욱 번영할수 있습니다."
