ti_no	r_no	ti_review	ti_date	u_no	ti_star
1	41	고급스러운 분위기와 맛있는 양식을 즐길 수 있는 곳.	2024-08-17	16	4.1 
2	47	주방에서 요리하는 모습을 바로 볼 수 있는데, 이 곳의 신선한 맛의 비결이겠죠.	2024-08-12	30	4.4 
3	37	푸짐한 돌솥비빔밥이 정말 맛있었어요!	2024-08-11	46	4.7 
4	26	친절한 서비스와 훌륭한 커피를 제공하는 카페.	2024-08-19	47	4.0 
5	39	소박하지만 정성 가득한 양식 레스토랑에서 특별한 식사를 했습니다.	2024-08-20	56	4.2 
6	1	그냥 보통 중국집이에요.	2024-08-14	12	3.9 
7	15	매번 방문하게 되는 일식 맛집. 정성 가득한 서비스와 훌륭한 음식으로 항상 만족스럽습니다.	2024-08-13	31	4.2 
8	50	친구들과 모임하기 좋은 아늑한 카페 분위기.	2024-08-16	39	4.4 
9	48	퀄리티 높은 양식 음식점으로 다시 방문하고 싶은 곳.	2024-08-21	22	4.3 
10	6	고기의 맛이 일품이었고 반찬도 다양하고 맛있었습니다.	2024-08-15	5	3.6 
11	8	한식의 진수를 느낄 수 있는 곳이었습니다. 강추!	2024-08-10	57	4.8 
12	16	휴식하기 좋은 분위기와 맛있는 커피를 제공하는 카페입니다.	2024-08-18	19	4.6 
13	22	매번 다양한 메뉴를 맛볼 수 있는 양식 음식점.	2024-08-10	35	4.9 
14	14	정성스러운 중식 요리를 맛볼 수 있는 곳.	2024-08-20	38	4.5 
15	6	정갈하고 건강한 한식 요리를 즐길 수 있는 곳이었습니다.	2024-08-14	50	4.7 
16	33	매장 분위기가 아름답고 음료 맛이 훌륭한 카페입니다.	2024-08-17	42	3.7 
17	29	작업하거나 독서하기 좋은 조용한 카페 분위기.	2024-08-13	58	4.8 
18	37	그럭저럭 괜찮았어요.	2024-08-21	23	3.9 
19	19	그냥 가볼만한 곳.	2024-08-11	24	3.5 
20	17	분위기와 음식 모두 좋았던 곳.	2024-08-19	13	4.9 
21	12	우아한 분위기와 함께 고급스러운 일본 요리를 즐길 수 있는 곳.	2024-08-18	59	4.5 
22	3	맛있는 짜장면과 탕수육을 즐길 수 있는 곳.	2024-08-16	40	4.1 
23	30	서비스가 좋지는 않았어요.	2024-08-15	9	3.8 
24	34	오랜만에 먹는 할머니의 손맛을 느낄 수 있었습니다.	2024-08-12	55	4.3 
25	15	일본의 정통 일식을 경험할 수 있는 곳. 고급스러운 분위기와 정성스러운 음식이 인상적입니다.	2024-08-16	33	4.0 
26	19	매장 분위기와 맛 모두 훌륭한 양식 음식점.	2024-08-13	53	4.2 
27	38	세심한 손길이 느껴지는 초밥과 회를 맛볼 수 있는 최고의 장소.	2024-08-20	20	4.1 
28	40	분위기도 좋고 음식도 맛있는 중식 음식점.	2024-08-21	51	4.6 
29	23	맛과 서비스 모두 훌륭한 곳입니다.	2024-08-10	17	4.4 
30	25	커피가 맛있고 분위기도 편안한 카페입니다.	2024-08-18	41	4.0 
31	21	소박하지만 정성 가득한 중식집.	2024-08-11	6	4.7 
32	42	가격 대비 퀄리티가 뛰어나고 서비스도 훌륭한 일식집입니다.	2024-08-15	14	4.5 
33	49	커피가 너무 썼어요.	2024-08-19	10	3.6 
34	39	맛과 퀄리티 모두 훌륭한 양식 레스토랑.	2024-08-14	4	4.2 
35	24	맛있는 중식 요리를 저렴한 가격에 즐길 수 있는 곳.	2024-08-12	21	3.8 
36	50	편안한 분위기와 신선한 커피를 제공하는 카페입니다.	2024-08-17	43	4.6 
37	43	일본의 맛을 그대로 느낄 수 있었습니다. 정갈하고 신선한 일식을 맛볼 수 있는 최고의 장소입니다.	2024-08-13	15	4.9 
38	4	맛있는 파스타와 스테이크를 즐길 수 있는 곳.	2024-08-20	2	4.8 
39	6	그럭저럭 가볼만한 곳.	2024-08-10	32	3.5 
40	16	재방문은 안할 거 같아요.	2024-08-21	26	3.7 
41	43	정성 가득한 일본식 요리를 즐길 수 있는 곳. 서비스도 친절하고 좋았습니다.	2024-08-11	45	4.4 
42	44	매번 찾게 되는 중식 음식점.	2024-08-18	34	4.3 
43	11	매장 분위기가 아늑한 중식 음식점.	2024-08-14	48	4.1 
44	35	바쁜 일상을 잊게 해주는 맛있는 한식 요리를 즐겼습니다.	2024-08-12	1	4.0 
45	14	맛있는 차이나타운의 맛을 느낄 수 있는 곳.	2024-08-16	8	4.5 
46	12	매장 내부의 일본적인 분위기와 함께 고급스러운 일식을 맛볼 수 있는 곳.	2024-08-19	36	3.9 
47	8	가격도 적당하고 맛도 좋아서 자주 가고 싶은 곳이에요.	2024-08-15	11	4.7 
48	28	초밥이 정말 신선하고 맛있었습니다.	2024-08-17	52	4.3 
49	31	작업하기 좋은 카페 분위기와 고급스러운 음료.	2024-08-10	7	4.6 
50	38	식재료의 신선함과 조리 기술이 뛰어나서 맛있는 일식을 맛볼 수 있었습니다.	2024-08-21	60	4.2 
51	34	나쁘지 않은 맛.	2024-08-11	37	3.8 
52	9	아름다운 분위기와 훌륭한 요리를 즐길 수 있는 양식 레스토랑.	2024-08-12	29	4.1 
53	30	한국의 전통을 지켜가는 맛있는 음식을 즐길 수 있었습니다.	2024-08-18	44	4.5 
54	10	고급스러운 양식 요리를 즐길 수 있는 최고의 장소.	2024-08-19	3	3.7 
55	50	분위기와 커피 퀄리티가 좋은 카페.	2024-08-20	28	4.9 
56	19	정갈하고 특별한 맛이 인상적인 양식 음식점.	2024-08-13	54	4.8 
57	30	훈훈한 집밥 느낌을 주는 한식 음식점이었습니다.	2024-08-17	18	4.3 
58	35	한식의 맛을 다시금 느낄 수 있어서 기분이 좋았습니다.	2024-08-16	27	4.4 
59	2	한식의 정통 맛을 느낄 수 있는 곳이었습니다.	2024-08-14	49	4.0 
60	25	친절한 직원과 훌륭한 커피를 즐길 수 있는 카페입니다.	2024-08-15	25	4.6 
61	24	소박하지만 정성 가득한 중식집.	2024-08-13	16	3.6 
62	7	정성스러운 요리와 아늑한 분위기가 인상적인 양식집.	2024-08-21	5	3.5 
63	4	정성 가득한 요리와 아름다운 분위기가 돋보이는 양식집.	2024-08-12	38	4.2 
64	28	회와 초밥의 신선함이 일품이었습니다.	2024-08-19	47	4.7 
65	13	처음부터 끝까지 정성 가득한 서비스와 함께 맛있는 일식을 즐길 수 있는 곳.	2024-08-11	55	3.9 
66	23	정통 중식의 맛과 향이 일품이었습니다.	2024-08-18	43	3.8 
67	46	퀄리티 높은 일식을 먹을 수 있어서 만족스러웠습니다.	2024-08-20	35	4.5 
68	32	카페인 분위기와 맛있는 디저트를 함께 즐길 수 있는 곳.	2024-08-15	34	4.1 
69	50	편안한 분위기와 맛있는 커피를 즐길 수 있는 카페.	2024-08-10	42	4.8 
70	29	커피와 함께 즐기는 편안한 시간을 제공하는 카페입니다.	2024-08-17	57	4.4 
71	40	정통 중식의 맛을 느낄 수 있는 곳.	2024-08-16	46	4.3 
72	36	맛과 건강을 동시에 챙길 수 있는 한식 음식점!	2024-08-14	2	4.0 
73	23	퀄리티 높은 중국 요리 맛집.	2024-08-13	18	4.6 
74	47	서비스도 좋고 음식도 맛있어서 자주 방문하는 곳이 되었습니다.	2024-08-12	21	3.6 
75	47	일본에서 먹은 것과 비슷한 맛을 느낄 수 있어서 좋았습니다	2024-08-21	26	3.7 
76	8	가격 대비 퀄리티가 뛰어나고 분위기도 좋았던 한식 음식점!	2024-08-10	52	4.9 
77	43	오마카세 코스는 각 음식이 정성스럽게 준비돼 있어서 매번 다시 방문하고 싶은 맛집입니다.	2024-08-19	48	4.2 
78	7	매번 만족스러운 양식 식사를 할 수 있는 곳.	2024-08-15	41	4.5 
79	4	훌륭한 요리와 친절한 서비스로 매번 만족스러운 양식 식사를 했습니다.	2024-08-18	4	3.5 
80	50	작업하기에 딱 좋은 분위기와 고급스러운 커피를 제공하는 카페.	2024-08-11	31	3.9 
