T_No	C_No	tName	City	Amount	Minute	Explanation
1	1	요하네스버그	Johannesburg	1350000	840	남아프리카 공화국의 경제 중심지로 유명합니다.
2	1	케이프타운	CapeTown	1350000	780	아름다운 해안선과 테이블 산으로 유명한 관광 도시입니다.
3	2	라고스	Lagos	1350000	840	나이지리아의 경제적 중심지이며 인구가 많은 도시입니다.
4	2	아부자	Abuja	1080000	600	나이지리아의 행정 수도로서 정부와 기업이 집중되어 있습니다.
5	3	나이로비	Nairobi	1080000	570	동아프리카의 중심지로 사파리와 자연 관광으로 유명합니다.
6	3	몬바사	Monbasa	1620000	1140	케냐의 제2의 도시로서 비즈니스와 교육 중심지입니다.
7	4	카이로	Cairo	1215000	660	이집트의 수도로서 고대 문명의 유적지로 유명합니다.
8	4	룩소르	Luxor	1080000	510	바다와 사막이 만나는 곳으로 유명한 관광 도시입니다.
9	5	루안다	Luanda	1080000	960	앙골라의 수도이자 경제적 중심지입니다.
10	5	루아다	Lusaka	1080000	960	앙골라의 두 번째로 큰 도시이며 국내 중심적인 경제와 무역 중심입니다.
11	6	아디스아바바	AddisAbaba	1350000	720	에티오피아의 수도로서 역사와 문화가 풍부한 도시입니다.
12	6	아크스움	Accra	1620000	840	에티오피아의 제2의 도시로서 중요한 산업과 관광 지역입니다.
13	7	뉴욕	NewYork	1350000	840	세계적으로 유명한 글로벌 도시로 문화와 금융의 중심입니다.
14	7	로스앤젤레스	LosAngeles	1620000	840	엔터테인먼트와 문화의 중심지로서 화려한 도시입니다.
15	7	샌프란시스코	SanFrancisco	1620000	870	기술 산업과 문화가 융합되는 도시로 유명합니다.
16	7	라스베이거스	LasVegas	1620000	870	카지노와 엔터테인먼트로 유명한 도시로서 세계적인 관광지입니다.
17	7	시카고	Chicago	1620000	870	건축, 문화, 예술, 먹거리 등 다양한 면에서 활기찬 도시입니다.
18	8	토론토	Toronto	1620000	840	캐나다의 경제 중심지로서 다문화와 비즈니스가 번성합니다.
19	8	밴쿠버	Vancouver	1620000	630	자연경관이 아름다운 도시로서 깨끗한 환경과 다양한 문화가 특징입니다.
20	8	몬트리올	Montreal	1620000	840	프랑스 문화와 브리티시 흔적이 섞인 다양한 문화가 있는 도시입니다.
21	8	캘거리	Calgary	1620000	660	자연환경이 우수하며 석유와 가스 산업이 발달한 도시입니다.
22	9	멕시코시티	MexicoCity	1620000	930	역사적인 도시로서 고대 아즈텍 문명의 유적지가 있습니다.
23	9	칸쿤	Cancun	1620000	930	아름다운 해변과 고대 유적지로 유명한 관광 도시입니다.
24	9	구아다라하라	GuatemalaCity	1620000	930	멕시코의 제2의 도시로서 문화와 역사가 풍부한 도시입니다.
25	10	킹스턴	Kingston	1620000	1200	자메이카의 수도로서 음악과 문화가 풍부한 도시입니다.
26	10	몬테고베이	MontegoBay	1620000	960	아름다운 해변과 리조트로 유명한 관광 도시입니다.
27	11	아바나	Havana	1620000	1200	컬러풀한 건축과 역사적인 유적지가 있는 도시입니다.
